MIDPNT_LON, ALLVEH_AMPEAK, FLOW, LABEL, ALLVEHS_AADT, LOCATION_ID, ALLVEH_PMPEAK, YR,MIDPNT_LAT, GROWTH_RATE, OBJECTID
144.7301167,,SOUTH BOUND,"16,000* (8% 1,200*) SOUTH BOUND",16000,5519,,2017,-37.6355023,0.018,355651
144.8495945,,EAST BOUND,"40,000* (6% 2,400*) EAST BOUND",40000,4355,,2017,-37.72571433,0.015,355652
144.9665974,407,NORTH BOUND,"8,900 (3% 285*) NORTH BOUND",8900,5332,704,2017,-37.74131367,-0.01,355653
144.9583512,,NORTH BOUND,"27,000* (10% 2,600*) NORTH BOUND",27000,5305,,2017,-37.69190523,0.004,355654
144.9443294,,NORTH BOUND,"14,000* (8% 1,100*) NORTH BOUND",14000,4363,,2017,-37.60005808,0.003,355655
144.9808924,,NORTH BOUND,"17,000* (24% 4,100*) NORTH BOUND",17000,5859,,2017,-37.44599847,0.028,355656
144.834182,,EAST BOUND,"11,000* (5% 560*) EAST BOUND",11000,4517,,2017,-37.64432814,0.015,355662
144.8821313,,SOUTH BOUND,"18,000* (11% 2,000*) SOUTH BOUND",18000,4182,,2017,-37.82026753,0.002,355663
144.9054754,,SOUTH BOUND,"24,000* (4% 936*) SOUTH BOUND",24000,4186,,2017,-37.73679203,0.029,355664
144.9323247,1300,SOUTH EAST BOUND,"12,000 (6% 754*) SOUTH EAST BOUND",12000,4525,616,2017,-37.78091187,0,355665
144.6790314,,EAST BOUND,"4,800* (5% 244*) EAST BOUND",4800,4190,,2017,-37.57578241,0.039,355666
144.5976287,,SOUTH EAST BOUND,"7,200* (4% 321*) SOUTH EAST BOUND",7200,4002,,2017,-37.67641118,0.023,355667
145.0395356,,EAST BOUND,"15,000* (2% 336*) EAST BOUND",15000,4226,,2017,-37.84473718,-0.005,355671
145.111383,,SOUTH WEST BOUND,"4,300* (6% 266*) SOUTH WEST BOUND",4300,4229,,2017,-37.83750459,-0.004,355672
145.2991245,,SOUTH BOUND,"10,000* (4% 401*) SOUTH BOUND",10000,4627,,2017,-38.0652779,0.012,355673
144.9582363,916,EAST BOUND,"14,000 (9% 1,200*) EAST BOUND",14000,4240,1400,2017,-37.68955442,0.001,355678
145.0841674,923,EAST BOUND,"11,000 (6% 695*) EAST BOUND",11000,4637,976,2017,-37.70252691,-0.006,355679
145.006865,934,SOUTH BOUND,"11,000 (6% 667*) SOUTH BOUND",11000,4813,690,2017,-37.71641102,0.003,355682
145.0046998,,EAST BOUND,"11,000* (6% 692*) EAST BOUND",11000,5149,,2017,-37.84059088,-0.009,355683
145.1140069,,SOUTH BOUND,"14,000* (3% 377*) SOUTH BOUND",14000,4817,,2017,-37.82228389,0.007,355684
